"Reporting starts","Reporting ends","Ad set name",Text,Age,"Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ZAR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2026-03-24,2026-05-11,,,,0,,,,0,0,1158.87,71306,38525,,,"7-day click or 1-day view",0,0,0
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Looking for something different this weekend?

Join our 1-hour Leisure Cruise on the Vaal River
R250.00 per adult | R125.00 per child U/12
• Scenic river views
 • Relaxed atmosphere
 • Fully stocked cash bar

Times: Sundays & public holidays 10H30 – 11H30

Limited spots available – book your seat now.

WhatsApp to book your seat 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,0.649959,35,33,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River for a Sunday Funday like no other! 

R250/adult | R125/child U/12. Limited spots available - when are you booking your seat? WhatsApp 083 749 0224 now!",18-24,not_delivering,,,,"Using campaign budget",0,0.099994,6,5,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere 
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River, Sundays & public holidays from 10H30 - 11H30. Only R250/adult and R125/child U12.

Limited spots! Book now via WhatsApp: 083 749 0224",18-24,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,0.0899943,"Using campaign budget",0,0.089994,7,5,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend vibes! 
Tired of the same old routine? 

Escape to our 1-hour Leisure Cruise on the Vaal River!
Enjoy scenic views, a relaxed atmosphere & a fully stocked cash bar.

When: Sundays & public holidays | Time: 10H30 – 11H30
R250/adult | R125/child U12

Limited spots available! WhatsApp 083 749 0224 to book now",18-24,not_delivering,,,,"Using campaign budget",0,0.119992,8,8,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","A simple, relaxing escape on the water.

Our Leisure Cruise is a 1-hour experience on the Vaal River, perfect for a quick outing with friends or family.

@ R250.00 per adult | R125.00 per child U/12
 (No food – drinks available on board)

Runs Sundays & public holidays
Spots are limited – secure yours now.
WhatsApp to book your seat 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,0.129992,11,11,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to serenity! 
Unwind on our 1-hour Leisure Cruise on the Vaal River. 
Enjoy a relaxed atmosphere and scenic river views.
From R125 (kids under 12) | R250 adults
Fully stocked cash bar onboard!
Sundays & public holidays, 10H30 – 11H30.
Limited spots available... book now and breathe easy!
WhatsApp 083 749 0224 to reserve your seat",18-24,not_delivering,,,,"Using campaign budget",0,0.059996,5,4,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend plans? 
Join our 1-hour Leisure Cruise on the Vaal River: R250/adult, R125/child U/12. 
Scenic views, relaxed atmosphere & cash bar.
Sundays & public holidays, 10H30-11H30. Limited spots! Book now via WhatsApp: 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,2.639833,182,139,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday FOMO alert! 
Limited spots left for our 2-hour Vaal River cruise + buffet lunch. R680/adult, R340/child U/12.
• Full buffet meal
 • Live entertainment
 • Scenic river views

Book now & secure your spot: WhatsApp 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,0.019999,2,2,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Good food. Great views. No stress.
Join our Sunday Lunch Cruise and enjoy a full buffet while cruising the Vaal River.

2-hour experience | R680.00 per adult | R340.00 per child U/12

Perfect for birthdays, family days, or just getting out of the house.

Seats fill up quickly – don’t miss out.",18-24,not_delivering,,,,"Using campaign budget",0,0.019999,2,2,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sundays just got better!
Enjoy a 2-hour Vaal River cruise with live entertainment & scenic views
Indulge in our full buffet meal for only R680/adult, R340/child U/12 
When: Sundays, 13H00 – 15H00. Limited spots! WhatsApp to book: 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,0.809949,37,24,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!

Treat yourself to a 2-hour Vaal River cruise & buffet lunch! 
• Feast on our full buffet spread
 • Groove to live entertainment
 • Take in the stunning river views

This Sunday, 13H00-15H00. Limited spots available!
Book now and make it unforgettable! WhatsApp 083 749 0224",18-24,not_delivering,,,,"Using campaign budget",0,0.029998,3,3,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Looking for something different this weekend?

Join our 1-hour Leisure Cruise on the Vaal River
R250.00 per adult | R125.00 per child U/12
• Scenic river views
 • Relaxed atmosphere
 • Fully stocked cash bar

Times: Sundays & public holidays 10H30 – 11H30

Limited spots available – book your seat now.

WhatsApp to book your seat 083 749 0224",25-34,not_delivering,2,actions:onsite_conversion.messaging_conversation_started_7d,4.55971144,"Using campaign budget",0,9.119423,433,417,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
