"Reporting starts","Reporting ends","Ad set name",Platform,Placement,"Device platform","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ZAR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2026-03-24,2026-05-11,,,,,0,,,,0,0,1158.87,71306,38525,,,"7-day click or 1-day view",0,0,0
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,"Facebook profile feed",In-app,not_delivering,,,,"Using campaign budget",0,1.749889,42,41,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,"Facebook Reels",In-app,not_delivering,7,actions:onsite_conversion.messaging_conversation_started_7d,2.73696965,"Using campaign budget",0,19.158788,595,547,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,Feed,In-app,not_delivering,160,actions:onsite_conversion.messaging_conversation_started_7d,4.55939896,"Using campaign budget",0,729.503833,38642,25160,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,Feed,"Mobile web",not_delivering,3,actions:onsite_conversion.messaging_conversation_started_7d,1.54323567,"Using campaign budget",0,4.629707,311,200,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,"In-stream reels",In-app,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,0.26998291,"Using campaign budget",0,0.269983,8,8,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,Marketplace,In-app,not_delivering,3,actions:onsite_conversion.messaging_conversation_started_7d,2.9764783,"Using campaign budget",0,8.929435,572,436,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Facebook,"Search results",In-app,not_delivering,5,actions:onsite_conversion.messaging_conversation_started_7d,1.77188787,"Using campaign budget",0,8.859439,495,428,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Instagram,Feed,In-app,not_delivering,,,,"Using campaign budget",0,10.849313,248,205,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Instagram,"Instagram Reels",In-app,not_delivering,,,,"Using campaign budget",0,4.26973,90,80,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",Instagram,"Instagram Stories",In-app,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.84988293,"Using campaign budget",0,1.849883,50,43,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets",WhatsApp,Status,In-app,not_delivering,,,,"Using campaign budget",0,0,2,2,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,"Facebook profile feed",In-app,not_delivering,,,,"Using campaign budget",0,0.590112,24,24,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,"Facebook Reels",In-app,not_delivering,33,actions:onsite_conversion.messaging_conversation_started_7d,1.76851749,"Using campaign budget",0,58.361077,2943,2124,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,"Ads on Facebook Reels",In-app,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,0.37007024,"Using campaign budget",0,0.37007,35,32,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,Feed,In-app,not_delivering,153,actions:onsite_conversion.messaging_conversation_started_7d,1.97723803,"Using campaign budget",0,302.517419,26509,18035,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,Feed,"Mobile web",not_delivering,,,,"Using campaign budget",0,1.350256,170,133,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,"In-stream reels",In-app,not_delivering,,,,"Using campaign budget",0,0.070013,57,49,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,Marketplace,In-app,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,0.38007214,"Using campaign budget",0,0.380072,32,30,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Facebook,"Search results",In-app,not_delivering,2,actions:onsite_conversion.messaging_conversation_started_7d,0.78514903,"Using campaign budget",0,1.570298,123,115,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Instagram,Feed,In-app,not_delivering,,,,"Using campaign budget",0,0.140027,9,8,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Instagram,"Instagram Reels",In-app,not_delivering,,,,"Using campaign budget",0,0.550104,19,15,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",Instagram,"Instagram Stories",In-app,not_delivering,,,,"Using campaign budget",0,0.110021,5,5,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
2026-03-24,2026-05-11,"LL Public Cruises - Upcoming Public Holidays Ad Set",WhatsApp,Status,In-app,not_delivering,2,actions:onsite_conversion.messaging_conversation_started_7d,1.39526483,"Using campaign budget",0,2.79053,325,307,2026-04-17,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:29:44+0200
